root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint,FL_foot_joint,FR_foot_joint,RL_foot_joint,RR_foot_joint
0.0,0.0,0.745913,-0.00590261038931276,-0.5534150365010598,-0.008528410562500121,0.8328410549308913,-9.86e-07,0.349071,-0.872662,2.4067e-06,0.349062,-0.872669,2.38753e-06,0.610854,0.872668,-3.27e-06,0.610866,0.872669,0.0,0.0,0.0,0.0
0.0008998160888307442,-0.0001292965525924312,0.745915563033837,-0.005889577665927531,-0.5537256248860002,-0.008414594730408023,0.8326358386564012,-9.673661468114705e-06,0.3540914602254001,-0.879366493045954,-6.277677832339507e-06,0.3546077020748231,-0.8800633757670823,0.0009719621893384031,0.6131057627551204,0.8738441718078885,0.0009662956833653644,0.6133458444089627,0.8749383416641489,0.0,0.0,0.0,0.0
0.002567557131222356,-0.00035901948792966664,0.7458790686173113,-0.005881152081961283,-0.5540052665786065,-0.008354810247049912,0.8324504632703928,0.0003181757080363699,0.36364295343310893,-0.8935780212207671,0.00032167938282959247,0.36496973325767085,-0.8956649590326765,0.0021961832194698095,0.6166733969267765,0.8756827174719374,0.0021940922442979117,0.6169353173611423,0.8783773504500633,0.0,0.0,0.0,0.0
0.004934917316862677,-0.0008246090207050737,0.7457968716840603,-0.005846739540388668,-0.5542806452739422,-0.008372021411849624,0.8322671993830639,0.0013475593763993337,0.3768493414265517,-0.9135638643411533,0.0013516666241607498,0.37978907471154427,-0.9188642385946485,0.004143837466855471,0.62163255437857,0.8776799001621077,0.004151798061381361,0.6214788948627377,0.883443372211546,0.0,0.0,0.0,0.0
0.007986930599000394,-0.0016864345783989378,0.7459067228182117,-0.0057482306401270555,-0.5546266492359989,-0.008506325347391493,0.8320359849374548,0.00354703002789992,0.39327076532419236,-0.9370152294998656,0.003554528566572671,0.39917123026305945,-0.9486016807346181,0.007322507417529448,0.6297506655810211,0.87690129231127,0.007358558111591613,0.6284553002640021,0.8882950865483752,0.0,0.0,0.0,0.0
0.011875743890206906,-0.003312853144205934,0.7471083936582212,-0.005461603507895334,-0.5554312935990123,-0.008939077246579032,0.8314964473021096,0.00815827897835391,0.4135355524481719,-0.9587091223011142,0.00818228212412009,0.42497534613701243,-0.9828245064892228,0.012254598414825943,0.6480971185768823,0.8639723048104602,0.012366965767521464,0.6438210481514348,0.885913565431829,0.0,0.0,0.0,0.0
0.015184783655752664,-0.004709115973452664,0.7479154570269158,-0.005159656518865562,-0.5551399258202916,-0.00905799449337658,0.8316916456479567,0.01153649725774443,0.43072109547943477,-0.9826156943143298,0.005936591498243197,0.40046671137677997,-0.9538066835097436,0.013107236349227626,0.637613087545475,0.8849082045165844,0.017882086855029723,0.654309280968402,0.8829379096702129,0.0,0.0,0.0,0.0
0.018575049285389965,-0.006220158619841181,0.7488261802642108,-0.0048625912450665455,-0.5549386498046254,-0.00922560168036806,0.8318259063247777,0.015363662170968866,0.44787929836888024,-1.0052612735054205,0.005233464389647903,0.38128389728614703,-0.9409700969554488,0.014902652015559004,0.6292948947298938,0.9024270408431644,0.024011998851252794,0.6658354361228759,0.8793069136122964,0.0,0.0,0.0,0.0
0.021780386093053612,-0.007790086219190747,0.7498161985692485,-0.004559731946113227,-0.5548865812060392,-0.00942832050876283,0.8318600829553232,0.019464894153149975,0.4636093574596929,-1.024315831378096,0.0052989273032827125,0.36733628039507815,-0.9385024277082233,0.01785953970731339,0.6227805779293145,0.9180465572830856,0.030507607391227543,0.67789100868596,0.8750583179296724,0.0,0.0,0.0,0.0
0.02462601332505233,-0.009375976383479683,0.750835209818292,-0.004262097571750526,-0.5549146365131211,-0.009639908731389896,0.8318405212944665,0.023672623342034505,0.47712504450355225,-1.0392320006137232,0.005698619801245838,0.35695775116330225,-0.9416160766780659,0.02166070245344414,0.6172984426445953,0.9324538407068677,0.03732130038973874,0.6896963348080536,0.8703588607078638,0.0,0.0,0.0,0.0
0.02703557394425416,-0.010943187345655869,0.7518494395791198,-0.003978322762386787,-0.5549754486746633,-0.009844322079264094,0.8317989622734294,0.027856084118975267,0.48815980829809175,-1.0500941391178367,0.006283168794832078,0.34880225281691646,-0.9475952101095572,0.02596238284376958,0.6123133036158844,0.946007626240425,0.04434675011577433,0.7007600252639252,0.8653904924588343,0.0,0.0,0.0,0.0
0.02900099622155993,-0.012460996432923888,0.7528420484854385,-0.0037132050579743287,-0.5550437173101308,-0.010033611582149786,0.8317523733788607,0.03190919018359103,0.4967878859504027,-1.0573104094086005,0.006995033349152294,0.3418731145048213,-0.9549404288709825,0.03050173992491394,0.6074649725868887,0.9589497826160851,0.05141322565542444,0.7108605984556805,0.860254969555085,0.0,0.0,0.0,0.0
0.030556197599272472,-0.013903273217202658,0.7538062474793348,-0.0034689987732655836,-0.5551078111839541,-0.0102046898237839,0.8317085717459397,0.03574868126058471,0.5032781971002553,-1.0614496965483038,0.007788890840324366,0.33547749975626967,-0.9628333681161554,0.035098120150801736,0.6025231743665942,0.9714653013008105,0.058328217597320715,0.7199587968381407,0.8549868036143576,0.0,0.0,0.0,0.0
0.03175685824124947,-0.015249920159340485,0.7547394652367482,-0.003246574686040577,-0.5551635744511573,-0.010357022529351523,0.8316703658540135,0.03931485995803558,0.5079870758023785,-1.063133647578083,0.008611729335346558,0.3291653337565862,-0.9708366314586357,0.03963183993667666,0.597355538251999,0.9837027871175702,0.06491799670173051,0.7281177224041353,0.8495918434391962,0.0,0.0,0.0,0.0
0.03266616899675063,-0.016487340459938903,0.7556403017849346,-0.0030456997485793476,-0.5552108276559024,-0.010491624802105566,0.831637893782926,0.04257093628224602,0.5112872705577218,-1.0629628922595065,0.009407126160052808,0.32266163574964696,-0.9787263838782598,0.04402269720191238,0.591905146432247,0.9957807199232344,0.0710460730545048,0.735446768096764,0.8440737930871143,0.0,0.0,0.0,0.0
0.03334574742405509,-0.017607864707357566,0.7565069788795482,-0.00286565266022849,-0.5552510136036628,-0.010610003921894545,0.8316102018035333,0.04549911382428523,0.5135257453848452,-1.0614777881244692,0.010122611462099263,0.31580537811371007,-0.9864019522674679,0.0482203665159016,0.5861714070217293,1.0077875864022916,0.07662249647976968,0.7420653919098718,0.8384496236216651,0.0,0.0,0.0,0.0
0.033850540500601746,-0.01860824585908602,0.7573366060498269,-0.0027053551504708784,-0.5552860212525011,-0.010713819440912034,0.8315860326677356,0.048095204466849846,0.5150026814275905,-1.0591406470577478,0.010715655377513162,0.3085068817700171,-0.9938302976578199,0.052195213399591024,0.5802011700157628,1.0197768265150073,0.08159615570914366,0.7480803665867615,0.8327557112188517,0.0,0.0,0.0,0.0
0.03422651032868041,-0.01948777190371259,0.7581240260332296,-0.0025637437210985635,-0.5553174638603712,-0.010804412967020496,0.8315643127324885,0.05036224220477558,0.5159637905718978,-1.056337212408903,0.011154999580171064,0.3007363134021415,-1.0010044840355963,0.05593134394314228,0.574087079073541,1.031754253428531,0.08594468946456184,0.7535689348669723,0.827057418847249,0.0,0.0,0.0,0.0
0.034509904970216956,-0.020246254219148167,0.7588598865196692,-0.002440193483930843,-0.5553460069306851,-0.010882481212617423,0.8315446047233794,0.052304457113885566,0.5165997268788604,-1.053390590770386,0.011418320178373938,0.29255452661163467,-1.0078974356157988,0.059412725752377805,0.567973110111364,1.043649702716822,0.0896625074952482,0.7585615799974486,0.8214657088138715,0.0,0.0,0.0,0.0
