root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint,FL_foot_joint,FR_foot_joint,RL_foot_joint,RR_foot_joint
0.0,0.0,0.72963,0.0,-0.5231245161092812,0.0,0.852256264656019,0.0,-0.81,0.872,0.0,-0.81,0.872,0.0,0.65,1.0,0.0,0.65,1.0,0.0,0.0,0.0,0.0
-0.00010441498556741806,0.0001341443616619114,0.729585640408387,-0.00019442305614145928,-0.5230417339806256,-4.0689396570024896e-05,0.8523070485796704,-9.979085524828264e-05,-0.8106581353368363,0.872276394851234,-9.979085524828194e-05,-0.8095085024208368,0.8706771530396895,4.615292007900767e-05,0.6491380004653787,1.0007851105489534,4.615292007900553e-05,0.6493826879017592,0.9998645861170524,0.0,0.0,0.0,0.0
-0.00023125737323630085,0.00026373243783100336,0.7295440220771283,-0.0003825750170750187,-0.5229495438517265,-7.907203754339269e-05,0.8523635503523367,-0.00019871929942811032,-0.8112260779485292,0.8723464691420358,-0.00019835726819273974,-0.8089608773861374,0.8691975465220824,9.901535036347422e-05,0.6482002827802796,1.0015273209851068,9.951022323157237e-05,0.6486876255587934,0.9997195172523023,0.0,0.0,0.0,0.0
-0.00035227961871028206,0.00035914625273755714,0.7295230991107596,-0.000518752828678209,-0.5228594837073571,-0.00010296587325639923,0.8524187237448552,-0.0002852185715703498,-0.8116021068802081,0.872229723826914,-0.00028432685192666344,-0.808509305551562,0.867937854368885,0.00015137245759438828,0.6474101368358889,1.0019584657577927,0.00015253007089538215,0.6480917697491271,0.99950469842288,0.0,0.0,0.0,0.0
-0.0004576389949345613,0.0004228674316357618,0.7295180788153017,-0.0006064709308642055,-0.5227715557577801,-0.00011319254142282188,0.8524725918591451,-0.00036090021946693675,-0.8118649215299559,0.8720494482168076,-0.000359523528040692,-0.8082125925927965,0.8669937244761929,0.0002029099936952447,0.6467713107461536,1.002122942020061,0.0002045718992766686,0.6476024581462387,0.9992471873431605,0.0,0.0,0.0,0.0
-0.0005425688575591619,0.00046654702667736495,0.729516048407306,-0.0006631974634613144,-0.5226824198563031,-0.00011423762145176053,0.8525272048985003,-0.00043147928207807034,-0.8121507563424899,0.8719623569891861,-0.0004297143123728075,-0.8081085984330271,0.8663839449540043,0.0002549701354501073,0.6462177084555089,1.0021682251854487,0.00025692550912830307,0.6471713861381538,0.9990131299591417,0.0,0.0,0.0,0.0
-0.0006039358159448389,0.0005052437557503434,0.7294997661770638,-0.0007115288596427655,-0.5225880265851798,-0.00011195646707012937,0.8525850313383638,-0.0005042457649559082,-0.8126192801906396,0.87213864591356,-0.000502127921031867,-0.8082293605717681,0.8660995157665192,0.0003092052079347354,0.6456531326161089,1.0022928315010902,0.0003113560410069375,0.6467253845600816,0.9988958810878112,0.0,0.0,0.0,0.0
-0.000621437169571022,0.0005687599597733657,0.7294396777328088,-0.0007959349296506985,-0.5224836410389435,-0.00011833484977012934,0.8526489297073794,-0.0005927823235489577,-0.8136264557829294,0.8730330265387878,-0.0005901338862969184,-0.8086799752466884,0.8662417890287778,0.0003650646679445325,0.6449606159878222,1.002842928610732,0.00036761614643666116,0.646190875170216,0.9990322700351952,0.0,0.0,0.0,0.0
-0.0005697728359906481,0.000694500940234532,0.7292966166259621,-0.0009721500550275222,-0.5223587042779338,-0.0001481425459664395,0.8527252881456809,-0.0007152649131641401,-0.8156515840471324,0.8752416323808798,-0.0007115258172845406,-0.8096249499399268,0.866964952326008,0.00042300840108099464,0.6439705424365791,1.0042614948001158,0.00042663734158727924,0.6454537425265251,0.999603234361437,0.0,0.0,0.0,0.0
-0.0004442957963576026,0.0009083345787390756,0.7290335790732158,-0.0012785201699762147,-0.522184448306249,-0.00020993909819574399,0.8528315913818205,-0.00089000514505004,-0.8191161121955726,0.8791753927737708,-0.0008840080035341887,-0.8112665667699294,0.8683792019351235,0.0004915115923802508,0.6424225967417915,1.006906284662037,0.0004976595949651075,0.6442979245955338,1.0007903746835292,0.0,0.0,0.0,0.0
